transaction_id,timestamp,customer_id,account_number,transaction_type,amount,currency,balance_after,status,merchant,category,location
,2023-01-09 19:53:12,CUST001150,ACCT-33479773,interest,1092770.0,GBP,2430.06,disputed,,,
TXN00000029,2023-03-25 13:28:17,CUST001012,ACCT-92122763,transfer,-642.52,EUR,4843.16,reversed,,,Branch
TXN00000030,2023-02-12 23:59:50,CUST001144,ACCT-48166464,deposit,584.4,USD,9498.61,disputed,Direct Deposit - Employer,income,Phone Banking
TXN00000031,2023-03-23 22:05:44,CUST001060,ACCT-22736120,deposit,306.21,EUR,7917.47,disputed,,,"Jacksonville, FL"
TXN00000032,2023-01-30 17:12:59,CUST001101,ACCT-57722788,refund,1371.76,EUR,3778.28,pending,Hilton Hotels,investment,"Boston, MA"
TXN00000033,2023-08-01 10:49:40,CUST001063,ACCT-16023562,fee,-11.53,JPY,6128.32,failed,Wells Fargo,fees,"New York, NY"
TXN00000034,2023-05-08 16:03:13,CUST001010,ACCT-83334295,fee,-4.57,AUD,1375.81,disputed,Chase,fees,"Boston, MA"
TXN00000035,2023-01-25 06:59:36,CUST001094,ACCT-34731922,payment,-67.69,USD,2601.49,disputed,Bank of America,utilities,Mobile App
TXN00000036,2023-01-21 14:25:4n,CUST001164,ACCT-98142392,transfer,588.53,USD,1697.34,failed,,,"Austin, TX"
TXN00000037,2023-02-13 08:22:30,CUST001002,ACCT-94920297,interest,1113.38,GBP,7853.31,completed,,,Branch
TXN00000038,2023-08-03 05:19:48,CUST001015,ACCT-55950537,refund,512.56,AUD,2032.77,disputed,Best Buy,insurance,"Chicago, IL"
TXN00000039,202-05-30 07:45:28,CUST001143,ACCT-12701912,deposit,92.9,USD,3654.89,disputed,Direct Deposit - Employer,income,Branch
TXN00000040,2023-09-17 14:46:51,CUST001006,ACCT-16242537,refund,88.01,GBP,2562.2,failed,,utilities,"Austin, TX"
TXN00000041,2023-05-18 04:48:48,CUST001115,ACCT-32069029,fee,-5.69,USD,9674.25,completed,Bank of America,fees,"San Diego, CA"
TXN00000042,2023-04-27 04:53:58,CUST001053,ACCT-74110515,refund,437.59,USD,9219.82,pending,Verizon,taxes,"Columbus, OH"
TXN00000043,2023-02-27 06:42:50,CUST001020,ACCT-61733413,fee,-49.16,CAD,9325.9,reversed,Wells Fargo,fees,
TXN00000044,2023-12-15 09:10:31,CUST001126,ACCT-83047106,refund,697.7,CAD,5711.37,reversed,Bank of America,housing,ATM
TXN00000045,2023-01-26 16:36:52,CUST001171,ACCT-89207534,payment,-862.01,USD,1192.02,reversed,Apple,housing,"Jacksonville, FL"
TXNk0000046,2023-03-17 01:47:40,CUST001200,ACCT-76144671,transfer,-658.74,USD,8906.1,disputed,,,"San Diego, CA"
TXN00000047,2023-11-23 12:13:55,CUST001011,ACCT-30489549,payment,-380.48,USD,6617.46,disputed,AT&T,housing,Phone Banking
TXN00000048,2023-09-16 09:12:37,CUST001099,ACCT-18518881,deposit,773.56,USD,9857.96,completed,Direct Deposit - Employer,income,Phone Banking
TXN00000049,2023-11-20 15:53:27,CUST001083,ACCT-28353947,refund,523.59,USD,3305.61,failed,CVS,healthcare,"Austin, TX"
TXN00000050,2023-07-05 09:11:28,CUST001007,ACCT-76922929,fee,-17.15,USD,8986.29,reversed,Wells Fargo,fees,"New York, NY"
TXN00000051,2023-03-07 12:36:20,CUST001093,ACCT-26604688,withdrawal,-836.09,USD,4539.57,completed,,,"San Jose, CA"
TXN00000052,2023-01-06 21:17:27,CUST001102,ACCT-75684824,payment,-277.01,CAD,1095.5,reversed,Lowes,shopping,"Indianapolis, IN"
TXN00000053,2023-01-15 03:39:47,CUST001098,ACCT-54246000,withdrawal,-404.68,USD,2861.87,disputed,,,"Phoenix, AZ"
TXN00000054,2023-05-19 05:30:54,CUST001077,ACCT-24832702,payment,-509.92,USD,7963.76,completed,Airbnb,income,"Denver, CO"
TXN00000055,2023-04-19 19:15:34,CUST001166,ACCT-53970456,transfer,-457.27,AUD,4803.04,disputed,,,"Charlotte, NC"
TXN00000056,2023-02-24 08:43:33,CUST001200,ACCT-76144671,fee,-19.08,CAD,8887.02,completed,Chase,fees,Online
TXN00000i57,2023-10-05 09:38:54,CUST001195,ACCT-21053615,interest,1293.96,USD,2371.39,pedding,,,Online
TXN00000058,2023-09-20 21:17:09,CUST001173,ACCT-65590364,fee,-28.44,GBP,2710.38,disputed,Chase,fees,Phone Banking
TXN00000059,,CUST001183,ACCT-55812975,withdrawal,-390.76,USD,4714.45,pending,,,"Los Angeles, CA"
TXN00000060,2023-02-14 15:24:48,CUST001076,ACCT-12661937,payment,-831.02,USD,2038.29,reversed,Walmart,transportation,"San Diego, CA"
TXN00000061,2023-12-03 10:13:27,CUST001063,ACCT-16023562,transfer,-20.6,USD,6107.72,failed,,,"Dallas, TX"
TXN00000062,2023-12-06 01:45:48,CUST001112,ACCT-10267547,pabment,-594.12,,6870.79,disputed,McDonalds,healthcare,"San Francisco, CA"
TXN00000063,2023-11-06 15:16:51,CUST001040,ACCT-75185423,transfer,-647.38,EUR,9253.31,disputed,,,"San Antonio, TX"
TXN00000064,2023-10-10 22:07:36,CUST001048,ACCT-36739498,refund,772.04,EUR,1975.24,pending,Netflix,shopping,"San Jose, CA"
TXN00000065,2023-08-02 03:40:02,wUST001159,ACCT-44486997,refund,,JPY,4150.34,completed,Venmo,housing,Phone Banking
TXN00000066,2023-07-18 22:56:28,CUST001132,ACCT-55711272,withdrawal,-871.26,JPY,1822.48,pending,,,"San Jose, CA"
TXN00000067,2023-01-03 14:09:58,CUST001108,ACCT-18886561,payment,-628.41,AUD,419.73,disputed,Walgreens,charity,"Seattle, WA"
TXN00000068,2023-05-08 09:17:10,CUST001181,ACCT-24236192,deposit,1172.29,JPY,4832.88,reversed,Direct Deposit - Employer,income,Online
TXN00000069,2023-02-09 19:07:36,CUST001196,ACCT-98321518,transfer,-461.01,,-3119.7,failed,,,"Philadelphia, PA"
TXN00000070,2023-03-19 00:30:17,CUST001015,ACCT-55950537,fee,-41.43,USD,1991.34,disputed,Wells Fargo,fees,"San Jose, CA"
TXN00000071,2023-11-08 18:45:27,CUST001113,ACCT-51443821,refund,734.48,USD,10645.52,completed,PG&E,education,Online
TXN00000072,2023-07-24 07:48:36,CUST001110,ACCT-65345102,fee,-24.68,JPY,5501.17,failed,Chase,fees,"San Antonio, TX"
TXN00000073,2023-01-30 23:40:49,CUST001145,ACCT-58123642,deposit,-1682.31,USD,4678.74,disputed,Direct Deposit - Employer,income,Mobile App
TXN00000074,2023-08-22 00:33:28,CUST001183,ACCT-55812975,payment,-727.63,USD,3986.82,reversed,Zelle,healthcare,"Los Angeles, CA"
TXN00000075,2023-09-23 10:16:10,CUST001079,ACCT-86570722,fee,-48.31,CAD,2707.49,completed,Bank of America,fees,"Seattle, WA"
TXN00000076,2023-12-24 01:43:31,CUST001027,ACCT-48166368,deposit,1336.6,GBP,7636.19,completed,,,Branch
TXN00000077,2023-05-19 03:13:28,CUST001184,ACCT-12870699,transfer,-948.25,GBP,6789.1,failed,,,Phone Banking
TXN00000078,2023-04-24 20:34:58,CUST001149,ACCT-95601711,withdrawal,-983.87,GBP,284.84,reversed,,,"San Antonio, TX"
TXN00000079,2023-09-06 02:31:53,CUST001189,ACCT-99065054,deposit,1641.08,USD,6528.94,failed,,income,"San Antonio, TX"
TXN00j00080,2023-10-24 06:07:54,CUST001144,ACCT-48166464,transfer,-771.68,USD,8726.93,pending,,,"San Jose, CA"
TXN00000081,2023-05-09 21:32:08,CUST001047,,transfer,-317.05,USD,2199.41,disputed,,,"Dallas, TX"
TXN00000082,2023-03-03 20:47:46,CUST001074,ACCT-68106348,withdrawal,-628.38,USD,2520.85,failed,,,"Chicago, IL"
TXN00000083,2023-04-04 19:22:03,CUST001103,ACCT-63566412,withdrawal,-435.19,USD,4584.39,reversed,,,"New York, NY"
TXN00000084,2023-03-02 09:11:09,CUST001035,ACCT-77548940,interest,844.97,USD,2276.18,disputed,,,"Los Angeles, CA"
TXN00000085,2023-04-03 01:59:46,CUST001058,ACCT-66848758,withdrawal,-929.59,EUR,3606.49,reversed,,,"Austin, TX"
TXN00000086,2023-03-28 01:13:17,CUST001199,ACCT-68921663,fee,-42.94,USD,4439.05,reversed,Wells Fargo,fees,Mobile App
TXN00000087,2023-04-15 14:52:39,CUST001061,ACCT-13932992,transfer,-630.4,AUD,-2.54,disputed,,,"Fort Worth, TX"
TXN00000088,2023-05-07 18:43:00,CUST001048,ACCT-36739498,deposit,1313.99,CAD,3289.23,failed,Direct Deposit - Employer,income,"New York, NY"
TXN00000089,2023-03-20 04:59:14,CUST001138,ACCT-44494851,interest,818.67,USD,7858.7,pending,,,"Phoenix, AZ"
TXN00000090,2023-01-05 20:27:14,CUST001125,ACCT-71284877,payment,-124.24,USD,4835.01,disputed,Marriott Hotels,travel,"Charlotte, NC"
TXN00000091,2023-08-25 22:22:10,CUST001044,ACCT-39835632,deposit,1413.19,USD,4365.1,completed,Direct Deposit - Employer,income,"San Jose, CA"
TXN00000092,2023-09-05 04:13:48,CUST001092,ACCT-43052655,transfer,-415.05,USD,9392.41,reversed,,,"Indianapolis, IN"
TXN00000093,2023-04-12 20:31:40,CUST001111,ACCT-17557147,interest,98.49,USD,6992.94,disputed,,,"Dallas, TX"
TXN00000094,2023-07-15 13:13:42,CUST001096,ACCT-67617870,refund,935.01,USD,10810.8,failed,McDonalds,utilities,"San Jose, CA"
TXN00000095,2023-09-02 09:44:22,CUST001144,ACCT-38475272,refund,1035.24,EUR,7245.02,failed,Chase,insurance,"San Antonio, TX"
TXN00000096,2023-01-04 21:32:15,CUST001191,ACCT-13657238,transfer,-130.0,JPY,5981.56,failed,,,"San Francisco, CA"
TXN00000097,2023-04-14 20:52:27,CUST001200,ACCT-76144671,payment,-312.69,USD,8574.33,disputed,Shell,dining,"San Diego, CA"
TXN00000098,2023-09-14 20:43:10,CUST001016,ACCT-16655033,transfer,-687.94,USD,8070.1,reversed,,,"San Antonio, TX"
TXN00000099,2023-07-14 15:24:57,CUST001074,ACCT-68106348,fee,-17.03,USD,2503.82,failed,Wells Fargo,fees,Online
TXN00000100,2023-10-25 13:56:39,CUST001095,ACCT-51912175,deposit,11.64,USD,7940.24,failed,,,ATM
TXN00000101,2023-01-05 03:00:31,CUST001020,ACCT-61733413,withdrawal,-543.02,USD,8782.88,jailed,,,"Phoenix, AZ"
TXN00000102,2023-02-06 01:51:45,CUST001170,ACCT-15550349,fee,-12.12,USD,5750.19,reversed,Bank of America,fees,"Jacksonville, FL"
TXN00000103,2023-12-02 09:58:10,CUST001019,ACCT-10728926,payment,-64.34,JPY,9361.35,reversed,Starbucks,dining,"Fort Worth, TX"
TXN00000104,2023-01-17 17:22:48,CUST001020,ACCT-61733413,withdrawal,-401.02,EUR,8381.86,completed,,,"San Jose, CA"
TXN00000105,2023-05-21 06:59:58,CUST001015,ACCT-55950537,interest,573.66,GBP,2565.0,reversed,,,"San Diego, CA"
TXN00000106,2023-10-12 21:59:50,CUST001067,ACCT-86748445,,842.27,USD,8205.69,disputed,Wells Fargo,miscellaneous,Online
TXN00000107,2023-06-14 00:33:27,CUST001079,ACCT-86570722,interest,1005.34,USD,3712.83,reversed,,,"San Antonio, TX"
,2023-01-01 12:40:35,CUST001072,ACCT-14938880,transfer,-28.55,USD,2347.94,pending,,,"New York, NY"
TXN00000109,2023-10-12 17:57:59,CUST001175,ACCT-27587399,fee,-10.08,USD,9119.76,failed,Chase,fees,"Houston, TX"
TXN00000110,2023-08-21 16:00:34,CUST001090,ACCT-45062558,payment,-76.07,USD,9060.36,failed,Southwest Airlines,investment,"Philadelphia, PA"
TXN00000111,2023-06-28 03:47:10,CUST001016,ACCT-16655033,refund,1054.49,AUD,9124.59,failed,Bank of America,travel,"Philadelphia, PA"
TXN00000112,2023-12-05 10:34:02,CUST001066,ACCT-49667266,interest,419.15,USD,3719.52,sending,,,Mobile App
TXN00000113,2023-01-15 16:13:50,CUST001041,ACCT-23193232,withdrawal,-266.44,JPY,6089.29,disputed,,,Branch
TXN00000114,2023-07-11 06:12:53,CUST001137,ACCT-41421430,rwfund,1835.35,USD,10813.42,reversed,Comcast,savings,Online
TXN00000115,2023-07-10 13:33:47,CUST001119,ACCT-72755346,fee,-44.75,GBP,5597.6,reversed,Wells Fargo,fees,"Denver, CO"
TXN00000116,2023-06-06 01:48:13,CUST001019,ACCT-10728926,fee,-46.78,USD,9314.57,completed,Bank of America,fees,"San Francisco, CA"
TXN00000117,2023-02-01 00:45:51,CUST001179,ACCT-41724086,deposit,-185.5,USD,1192.22,failed,Direct Deposit - Employer,income,"Boston, MA"
TXN00000118,2023-12-01 16:59:17,CUST001028,ACCT-98777843,transfer,-420.98,GBP,3208.6,reversed,,,Online
TXN00000119,2023-12-03 06:41:37,CUST001087,ACCT-68446428,transfer,-631.38,GBP,7360.12,failed,,,"Los Angeles, CA"
TXN00000120,2023-09-27 06:28:53,CUST001148,ACCT-90183644,withdrawal,-467.75,USD,8251.29,disputed,,,"Phoenix, AZ"
TXN00000121,2023-08-07 03:31:59,CUST001138,ACCT-44494851,uee,-36.67,USD,7822.03,reversed,Bank of America,fees,"Houston, TX"
TXN00000122,2023-05-26 22:31:42,CUST001040,ACCT-75185423,fee,-43.81,AUD,9209.5,pending,Bank of America,fees,"Philadelphia, PA"
TXN00000123,2023-07-09 00:47:30,CUST001153,ACCT-88772714,withdrawal,-724.97,USD,1498.56,failed,,,"Columbus, OH"
TXN00000124,2023-11-04 13:55:59,CUST001068,ACCT-36560663,interest,271.96,USD,8568.99,failed,,,Mobile App
TXN00000125,2023-07-23 00:29:00,CUST001172,ACCT-64219702,refund,1096.91,JPY,4951.01,pending,nT&T,entertainment,Branch
TXN00000126,2023-01-02 07:56:25,CUST001036,ACCT-26192714,refund,1739.85,EUR,9894.47,disputed,Hilton Hotels,investment,"Columbus, OH"
TXN00000127,2023-12-04 04:44:05,CUST001039,ACCT-90552230,refund,190.66,USD,9907.26,disputed,,savings,Online
TXN00000128,2023-08-07 14:02:57,CUST001194,ACCT-22512969,refund,46.36,AUD,10115.47,pending,Delta Airlines,transportatuon,"San Jose, CA"
TXN00000129,2023-08-07 02:17:06,CUST001114,ACCT-60540077,fee,-44.18,GBP,6574.52,failed,Wells Fargo,fees,Branch
TXN00000130,2023-09-06 13:23:16,CUST001024,ACCT-34386446,refund,679.36,CAD,8804.53,pending,Southwest Airlines,charity,ATM
TXN00000131,2023-07-21 08:43:01,CUST001088,ACCT-93311794,fee,-3.54,GBP,,pending,Wells Fargo,fees,"Houston, TX"
TXN00000132,2023-04-16 04:35:03,CUST001133,ACCT-49642867,deposit,1333.6,JPY,9006.11,failed,Direct Deposit - Employer,income,"San Jose, CA"
TXN00000133,2023-11-05 05:51:45,CUST001092,ACCT-43052655,transfer,-450.27,GBP,8942.14,disputed,,,Branch
TXN00000134,2023-06-08 10:34:34,CUST001021,ACCT-26457439,payment,-487.77,JPY,8550.95,reversed,Walgreens,savings,"Philadelphia, PA"
TXN00000135,2023-08-30 00:35:45,CUST001031,ACCT-41801171,fee,-28.97,USD,3213.53,disputed,Chase,fees,Branch
TXN00000136,2023-01-15 09:29:51,CUST001144,ACCT-38475272,fee,-6.93,USD,7238.09,disputed,Wells Fargo,fees,"Houston, TX"
TXN00000137,2023-08-30 03:44:57,CUST001115,ACCT-32069029,transfer,-330.12,GBP,9344.13,failed,,,"Indianapolis, IN"
TXN00000138,2023-01-22 00:09:27,CUST001165,ACCT-54864444,interest,1951.63,CAD,6691.59,completed,,,"Jacksonville, FL"
TXN00000139,2023-02-13 06:31:48,CUST001010,ACCT-84705205,withdrawal,-795.27,USD,2001.12,reversed,,,
TXN00000140,2023-05-05 10:47:23,CUST001057,ACCT-55096490,fee,-23.98,USD,9138.7,pending,Wells Fargo,fees,"Philadelphia, PA"
TXN00000141,2023-12-17 01:41:30,CUST001038,ACCT-63543396,refund,1943.69,CAD,9597.47,pending,Zelle,income,"Dallas, TX"
TXN00000142,2023-10-02 06:09:47,CUST001170,ACCT-15550349,fee,-44.07,USD,5706.12,reversed,Wells Fargo,fees,"Houston, TX"
TXN00000143,2023-08-04 07:11:54,CUST001177,ACCT-45899614,deposit,301.47,USD,1802.55,disputed,,,"San Francisco, CA"
TXN00000144,2023-01-26 10:24:40,CUST001186,ACCT-72966700,,450.37,GBP,8900.07,pending,,,"Los Angeles, CA"
TXN00000145,2023-11-18 12:48:16,CUST001009,ACCT-98203653,withdrawal,-698.28,CAD,5566.21,reversed,,,Phone Banking
TXN00000146,2023-11-20 21:57:30,CUST001095,ACCT-51912175,refund,1545.99,JPY,9486.23,disputed,Home Depot,entertainment,"San Francisco, CA"
TXN00000147,2023-04-08 17:43:51,CUST001009,ACCT-98203653,withdrawal,-332.78,GBP,5233.43,reversed,,,"Indianapolis, IN"
TXN00000148,2023-08-14 13:40:53,CUST001199,ACCT-68921663,deposit,1586.08,USD,6025.13,failed,Direct Deposit - Employer,income,"Chicago, IL"
TXN00000149,2023-07-23 16:47:00,CUST001156,ACCT-25620070,deposit,235.82,USD,6779.67,completed,Direct Deposit - Employer,income,"San Jose, CA"
TXN00000150,2023-12-06 01:05:09,CUST001132,ACCT-55711272,interest,947.13,GBP,2769.61,failed,,,Phone Banking
TXN00000151,2023-11-28 17:32:18,CUST001169,ACCT-89617513,payment,-142.78,GBP,7700.11,failed,Target,entertainment,"San Jose, CA"
TXN00000152,2023-09-23 11:14:28,CUST001156,ACCT-25620070,refund,1602.69,GBP,8382.36,disputed,Netflix,travel,"Boston, MA"
TXN00000153,2023-12-03 23:44:10,CUST001017,ACCT-49848608,fee,-12.41,mUR,9927.95,pending,Bank of America,fees,"Boston, MA"
TXN00000154,2023-04-17 03:34:30,CUST001188,ACCT-24011561,fee,-3.78,USD,4893.05,reversed,Chase,fees,Mobile App
TXN00000155,2023-06-29 04:28:05,CUST001153,ACCT-59449096,withdrawal,-577.0,USD,6159.59,reversed,,,"Jacksonville, FL"
TXN00000156,2023-07-23 04:42:16,CUST001105,ACCT-64377000,deposit,1750.47,USD,3889.86,reversed,,,"Charlotte, NC"
TXN00000157,2023-12-01 03:38:02,CUST0010w4,ACCT-46538442,deposit,707.32,USD,2875.71,pending,Direct Deposit - Employer,income,"Phoenix, AZ"
TXN00000158,2023-02-05 01:43:18,CUST001055,ACCT-51734996,refund,40.14,USD,2531.65,completed,Starbucks,income,ATM
TXN00000159,2023-03-04 03:36:44,CUST001127,ACCT-94024982,refund,1456.19,GBP,9050.18,pending,CVS,healthcare,"San Jose, CA"
TXN00000160,2023-10-09 08:02:49,CUST001043,ACCT-49026104,payment,-825.11,AUD,4295.74,reversed,Walgreens,dining,"Chicago, IL"
TXN00000161,2023-12-19 02:02:36,CUST001005,,payment,-591.35,JPY,2623.26,pending,Uber Eats,charity,"Charlotte, NC"
TXN00000162,2023-12-21 18:01:24,CUST001052,ACCT-67393906,refund,471.18,USD,5639.85,reversed,Starbucks,,"Austin, TX"
TXN00000163,2023-10-08 21:01:30,CUST001161,ACCT-58771356,deposit,176.67,EUR,1570.44,pending,,,"San Jose, CA"
TXN00000164,2023-07-17 08:28:37,CUST001184,ACCT-53416374,withdrawal,-488.33,GBP,2708.87,failed,,,Online
TXN00000165,2023-05-10 20:29:24,CUST001078,ACCT-92408433,fee,-9.77,USD,994.34,pending,Bank of America,fees,"Austin, TX"
TXN00000166,2023-12-16 05:00:46,CUST001043,ACCT-49026104,payment,-680.22,AUD,3615.52,reversed,Wells Fargo,miscellaneous,"Columbus, OH"
TXN00000167,2023-01-20 22:16:29,CUST001140,ACCT-73759187,payment,-648.95,EUR,7434.12,pending,Apple,dining,"Charlotte, NC"
TXN00000168,2023-07-24 20:33:25,CUST001130,ACCT-40070637,deposit,919.71,USD,9163.87,failed,Direct Deposit - Employer,income,"Chicago, IL"
TXN00000169,2023-12-25 02:06:14,CUST001072,ACCT-14938880,payment,-705.74,JPY,1642.2,disputed,American Express,utilities,"Columbus, OH"
TXN00000170,2023-11-23 11:45:36,CUST001194,ACCT-22512969,withdrawal,-776.65,USD,9338.82,pending,,,"Dallas, TX"
TXN00000171,2023-10-09 00:16:07,CUST001105,ACCT-50972644,interest,1655.24,JPY,10580.1,failed,,,"Seattle, WA"
TXN00000172,2023-05-23 18:11:45,CUST001179,ACCT-41724086,refund,1517.52,GBP,2709.74,pending,PG&E,savings,"Boston, MA"
TXN00000173,2023-02-08 10:34:30,CUST001143,ACCT-12701912,fee,-32.91,USD,3621.98,failed,Bank of America,fees,"San Jose, CA"
TXN00000174,2023-12-24 15:26:50,CUST001086,ACCT-94190833,fee,-9.37,AUD,5945.87,reversed,Bank of America,fees,"Chicago, IL"
TXN00000175,2023-10-30 00:36:51,CUST001032,ACCT-98923412,interest,1126.74,JPY,10068.04,failed,,,"Fort Worth, TX"
TXN00000176,2023-11-26 06:d3:08,CUST001156,ACCT-25620070,interest,589.46,AUD,8971.82,pending,,,"San Francisco, CA"
TXN00000177,2023-06-23 02:48:00,CUST001130,ACCT-40070637,payment,-994.76,GBP,8169.11,disputed,PG&E,transportation,
TXN0000d178,2023-09-24 00:59:00,CUST001027,ACCT-48166368,deposit,227.36,USD,7863.55,reversed,,,"Jacksonville, FL"
TXN00000179,2023-02-03 14:10:55,CUST001186,ACCT-72966700,refund,695.29,USD,9595.36,completed,DoorDash,investment,"Jacksonville, FL"
TXN00000180,2023-04-11 09:39:44,,ACCT-52059573,transfer,-618.8,CAD,7610.41,disputed,,,"San Antonio, TX"
TXN00000181,2023-06-08 10:24:16,CUST001152,ACCT-73659956,payment,-1006.92,EUR,2159.4,failed,Mastercard,,Phone Banking
TXN00000182,2023-12-26 00:09:17,CUST001121,ACCT-69156670,transfer,-76.73,USD,3790.72,failed,,,"San Francisco, CA"
TXN00000183,2023-09-15 10:13:41,CUST001178,ACCT-26964141,refund,670.14,USD,10245.49,failed,Whole Foods,investment,"Fort Worth, TX"
TXN00000184,2023-08-26 04:35:04,CUST001110,ACCT-65345102,transfer,-956.09,CAD,4545.08,disputed,,,"Philadelphia, PA"
TXN00000185,2023-04-12 13:15:32,CUST001168,ACCT-51927373,refund,560.32,JPY,4463.02,completed,Uber,taxes,"Charlotte, NC"
TXN00000186,2023-11-26 21:47:10,CUST001012,ACCT-92122763,payment,-835.16,GBP,4008.0,disputed,American Express,income,"Seattle, WA"
TXN00000187,2023-01-31 01:35:13,CUST001198,ACCT-69849470,refund,1490.36,CAD,11193.56,completed,Chase,income,"Houston, TX"
,2023-01-01 10:43:47,CUST001191,ACCT-13657238,payment,-1007.01,GBP,4974.55,pending,Spotify,miscellaneous,"Los Angeles, CA"
TXN00000189,2023-04-04 02:41:31,CUST001190,ACCT-89952800,fee,-31.4,USD,3939.17,disputed,Chase,fees,Mobile App
TXN00000190,2023-05-15 14:09:57,CUST001197,ACCT-78881762,interest,145.6,AUD,4325.0,failed,,,"San Jose, CA"
TXN00000191,2023-07-25 16:17:38,CUST001113,ACCT-51443821,refund,1783.01,JPY,12428.53,reversed,Comcast,insurance,"Boston, MA"
TXN00000192,2023-08-04 06:06:48,CUST001124,ACCT-32956800,payment,-65.11,GBP,6822.07,disputed,HiltonoHotels,groceries,"Philadelphia, PA"
TXN00000193,2023-11-28 01:24:56,CUST001182,ACCT-49355393,fee,-31.52,USD,7167.72,reversed,Bank of America,fees,"New York, NY"
TXN00000194,,CUST001009,ACCT-98203653,interest,1510.38,EUR,6743.81,reversed,,,"Phtladelphia, PA"
,,CUST001013,ACCT-69473190,withdrawal,-873.39,GBP,9016.89,disputed,,,"San Antonio, TX"
TXN00000196,2023-06-09 18:39:56,CUST001169,ACCT-89617513,payment,-723.2,CAD,6976.91,pending,Whole Foods,entertainment,"Seattle, WA"
TXN00000197,2023-04-27 14:33:22,CUST001027,ACCT-48166368,interest,233.68,USD,8097.23,disputed,,,"Philadelphia, PA"
TXN00000198,2023-04-22 13:14:11,CUST001045,ACCT-45331934,interest,465.35,USD,8756.74,reversed,,,"San Antonio, TX"
